image,attempt,bounds,check,fired,severity,values
01.webp,1,"[572, 0, 1280, 703]",text_fit,False,none,"{'box_width': 708, 'box_height': 703, 'chosen_font_size': 10, 'ceiling_font_size': 703, 'line_count': 1, 'lines': ['Hey!'], 'max_line_width': 22, 'total_text_height': 10, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 0.99, 'hard_wrapped_single_word': False}"
01.webp,1,"[572, 0, 1280, 703]",translation_sanity,False,none,"{'source_text': 'ＣＨＯ', 'translation': 'Hey!', 'source_len': 3, 'translation_len': 4, 'ratio': 1.33}"
01.webp,1,"[572, 0, 1280, 703]",detection_plausibility,False,none,"{'box_width': 708, 'box_height': 703, 'source_len': 3, 'confidence': None, 'chars_per_100px_height': 0.43}"
01.webp,1,"[0, 21, 256, 505]",text_fit,False,none,"{'box_width': 256, 'box_height': 484, 'chosen_font_size': 10, 'ceiling_font_size': 256, 'line_count': 1, 'lines': ['From here!'], 'max_line_width': 52, 'total_text_height': 8, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 1.89, 'hard_wrapped_single_word': False}"
01.webp,1,"[0, 21, 256, 505]",translation_sanity,False,none,"{'source_text': 'ここから', 'translation': 'From here!', 'source_len': 4, 'translation_len': 10, 'ratio': 2.5}"
01.webp,1,"[0, 21, 256, 505]",detection_plausibility,False,none,"{'box_width': 256, 'box_height': 484, 'source_len': 4, 'confidence': None, 'chars_per_100px_height': 0.83}"
02.webp,1,"[82, 51, 377, 385]",text_fit,False,none,"{'box_width': 295, 'box_height': 334, 'chosen_font_size': 10, 'ceiling_font_size': 295, 'line_count': 1, 'lines': ['Look, thief, search and clean, the day before yesterday.'], 'max_line_width': 249, 'total_text_height': 11, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 1.13, 'hard_wrapped_single_word': False}"
02.webp,1,"[82, 51, 377, 385]",translation_sanity,False,none,"{'source_text': '見るっスリトツボロ探掃おとと', 'translation': 'Look, thief, search and clean, the day before yesterday.', 'source_len': 14, 'translation_len': 56, 'ratio': 4.0}"
02.webp,1,"[82, 51, 377, 385]",detection_plausibility,False,none,"{'box_width': 295, 'box_height': 334, 'source_len': 14, 'confidence': None, 'chars_per_100px_height': 4.19}"
02.webp,1,"[840, 118, 909, 251]",text_fit,False,none,"{'box_width': 69, 'box_height': 133, 'chosen_font_size': 10, 'ceiling_font_size': 69, 'line_count': 1, 'lines': ['Sis, Nico-chan,'], 'max_line_width': 67, 'total_text_height': 9, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 1.93, 'hard_wrapped_single_word': False}"
02.webp,1,"[840, 118, 909, 251]",translation_sanity,False,none,"{'source_text': '一姉、ニコチャン、', 'translation': 'Sis, Nico-chan,', 'source_len': 9, 'translation_len': 15, 'ratio': 1.67}"
02.webp,1,"[840, 118, 909, 251]",detection_plausibility,False,none,"{'box_width': 69, 'box_height': 133, 'source_len': 9, 'confidence': None, 'chars_per_100px_height': 6.77}"
02.webp,1,"[832, 294, 875, 405]",text_fit,False,none,"{'box_width': 43, 'box_height': 111, 'chosen_font_size': 10, 'ceiling_font_size': 43, 'line_count': 1, 'lines': ['Yuu!'], 'max_line_width': 23, 'total_text_height': 8, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 2.58, 'hard_wrapped_single_word': False}"
02.webp,1,"[832, 294, 875, 405]",translation_sanity,False,none,"{'source_text': 'ゆ〜くん、', 'translation': 'Yuu!', 'source_len': 5, 'translation_len': 4, 'ratio': 0.8}"
02.webp,1,"[832, 294, 875, 405]",detection_plausibility,False,none,"{'box_width': 43, 'box_height': 111, 'source_len': 5, 'confidence': None, 'chars_per_100px_height': 4.5}"
02.webp,1,"[379, 814, 450, 922]",text_fit,False,none,"{'box_width': 71, 'box_height': 108, 'chosen_font_size': 10, 'ceiling_font_size': 71, 'line_count': 1, 'lines': ['Well, that...'], 'max_line_width': 50, 'total_text_height': 9, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 1.52, 'hard_wrapped_single_word': False}"
02.webp,1,"[379, 814, 450, 922]",translation_sanity,False,none,"{'source_text': 'そ、それは．．．', 'translation': 'Well, that...', 'source_len': 8, 'translation_len': 13, 'ratio': 1.62}"
02.webp,1,"[379, 814, 450, 922]",detection_plausibility,False,none,"{'box_width': 71, 'box_height': 108, 'source_len': 8, 'confidence': None, 'chars_per_100px_height': 7.41}"
02.webp,1,"[223, 895, 292, 1096]",text_fit,False,none,"{'box_width': 69, 'box_height': 201, 'chosen_font_size': 10, 'ceiling_font_size': 69, 'line_count': 4, 'lines': ['The cleaning', 'robot that was', 'supposed to be', 'collected!!'], 'max_line_width': 69, 'total_text_height': 42, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 2.91, 'hard_wrapped_single_word': False}"
02.webp,1,"[223, 895, 292, 1096]",translation_sanity,False,none,"{'source_text': '回収したはずのお掃除ロボット！！', 'translation': 'The cleaning robot that was supposed to be collected!!', 'source_len': 16, 'translation_len': 54, 'ratio': 3.38}"
02.webp,1,"[223, 895, 292, 1096]",detection_plausibility,False,none,"{'box_width': 69, 'box_height': 201, 'source_len': 16, 'confidence': None, 'chars_per_100px_height': 7.96}"
02.webp,1,"[105, 1046, 164, 1163]",text_fit,False,none,"{'box_width': 59, 'box_height': 117, 'chosen_font_size': 10, 'ceiling_font_size': 59, 'line_count': 1, 'lines': [""Yo, I'm here!""], 'max_line_width': 56, 'total_text_height': 9, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 1.98, 'hard_wrapped_single_word': False}"
02.webp,1,"[105, 1046, 164, 1163]",translation_sanity,False,none,"{'source_text': 'やれにいたっス～', 'translation': ""Yo, I'm here!"", 'source_len': 8, 'translation_len': 13, 'ratio': 1.62}"
