image,attempt,bounds,check,fired,severity,values
002.webp,1,"[946, 334, 1217, 476]",text_fit,False,none,"{'box_width': 271, 'box_height': 142, 'chosen_font_size': 10, 'ceiling_font_size': 142, 'line_count': 1, 'lines': ['Hey! Pick up your cigarette butts and trash!'], 'max_line_width': 198, 'total_text_height': 10, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 0.52, 'hard_wrapped_single_word': False}"
002.webp,1,"[946, 334, 1217, 476]",translation_sanity,False,none,"{'source_text': '站住！把你们扔的烟头、垃圾捡了！', 'translation': 'Hey! Pick up your cigarette butts and trash!', 'source_len': 16, 'translation_len': 44, 'ratio': 2.75}"
002.webp,1,"[946, 334, 1217, 476]",detection_plausibility,False,none,"{'box_width': 271, 'box_height': 142, 'source_len': 16, 'confidence': None, 'chars_per_100px_height': 11.27}"
002.webp,1,"[400, 105, 724, 198]",text_fit,False,none,"{'box_width': 324, 'box_height': 93, 'chosen_font_size': 10, 'ceiling_font_size': 93, 'line_count': 1, 'lines': [""Someone'll clean it anyway... why do we have to pick it up?""], 'max_line_width': 265, 'total_text_height': 10, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 0.29, 'hard_wrapped_single_word': False}"
002.webp,1,"[400, 105, 724, 198]",translation_sanity,False,none,"{'source_text': '反正会有人来打扫...干嘛要我们捡....', 'translation': ""Someone'll clean it anyway... why do we have to pick it up?"", 'source_len': 21, 'translation_len': 59, 'ratio': 2.81}"
002.webp,1,"[400, 105, 724, 198]",detection_plausibility,False,none,"{'box_width': 324, 'box_height': 93, 'source_len': 21, 'confidence': None, 'chars_per_100px_height': 22.58}"
002.webp,1,"[398, 1407, 628, 1599]",text_fit,False,none,"{'box_width': 230, 'box_height': 192, 'chosen_font_size': 10, 'ceiling_font_size': 192, 'line_count': 2, 'lines': ['Enough, cut the chatter—buy it and scram back to', ""the dorm. I'm annoyed.""], 'max_line_width': 224, 'total_text_height': 22, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 0.83, 'hard_wrapped_single_word': False}"
002.webp,1,"[398, 1407, 628, 1599]",translation_sanity,False,none,"{'source_text': '行了别废话了赶紧买完滚回宿舍。烦着呢。', 'translation': ""Enough, cut the chatter—buy it and scram back to the dorm. I'm annoyed."", 'source_len': 19, 'translation_len': 71, 'ratio': 3.74}"
002.webp,1,"[398, 1407, 628, 1599]",detection_plausibility,False,none,"{'box_width': 230, 'box_height': 192, 'source_len': 19, 'confidence': None, 'chars_per_100px_height': 9.9}"
002.webp,1,"[52, 131, 325, 227]",text_fit,False,none,"{'box_width': 273, 'box_height': 96, 'chosen_font_size': 10, 'ceiling_font_size': 96, 'line_count': 1, 'lines': ['Buy food, bring two packs of cigarettes. Hey, go give us'], 'max_line_width': 245, 'total_text_height': 11, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 0.35, 'hard_wrapped_single_word': False}"
